line_id,molecule,transition,E(K),Aij(s-1),isNull,per01_intensity,median_intensity,mean_log_intensity,per75_intensity,per90_intensity,per95_intensity,per99_intensity,freq
h2_v0_j2__v0_j0,h2,v0_j2__v0_j0,509.86386545,2.943e-11,False,-10.99248389567166,-4.99697852209966,-6.129892741407301,-4.488813005087733,-4.323130428545585,-4.258453230877959,-4.202204783194833,10623.839169129189
h2_v0_j3__v0_j1,h2,v0_j3__v0_j1,844.60810392,4.761e-10,False,-10.471056970125442,-4.825768614754134,-5.8343086212537,-3.812650551199792,-3.5184970567876666,-3.4303850977779025,-3.309520346998517,17598.777369856914
h2_v0_j4__v0_j2,h2,v0_j4__v0_j2,1171.77485419,2.755e-09,False,-9.464863309466317,-5.2768911524639766,-5.700130559012321,-3.7814596096093394,-3.4031255552476143,-3.315410463724157,-3.221058890575336,24415.826335049736
h2_v0_j5__v0_j3,h2,v0_j5__v0_j3,1488.66025741,9.836e-09,False,-7.729114761003886,-6.005101112359497,-5.516399209622343,-4.202127729648994,-3.149142996963432,-2.950804775550965,-2.8211369991017605,31018.646787686957
h2_v0_j6__v0_j4,h2,v0_j6__v0_j4,1792.85921529,2.643e-08,False,-7.730566482467579,-6.381734674077801,-5.913630158959147,-5.215355091927058,-3.78352976491358,-3.4533182307979478,-3.2868722612278622,37357.12461074569
h2_v0_j7__v0_j5,h2,v0_j7__v0_j5,2082.31434597,5.879e-08,False,-7.376664114434368,-5.883559891518199,-5.548194943783994,-5.156547548937217,-3.615698855266716,-3.149276761619176,-2.888816197702519,43388.390922017854
h2_v0_j8__v0_j6,h2,v0_j8__v0_j6,2355.34393221,1.142e-07,False,-7.841946803030755,-6.308506290385768,-6.0595171246572,-5.708908857368552,-4.42402130601025,-3.855619392781653,-3.5100336913227705,49077.40441990046
h2_v0_j9__v0_j7,h2,v0_j9__v0_j7,2610.64967356,2.001e-07,False,-7.42062899476816,-5.850118524355242,-5.644830253551131,-5.25320960707705,-4.177649772127631,-3.667537060722238,-3.23347249079673,54397.11291240919
h2_v0_j10__v0_j8,h2,v0_j10__v0_j8,2847.30672711,3.236e-07,False,-7.94096721619342,-6.346782011835472,-6.169750370220494,-5.767420648301956,-4.794988914073176,-4.36143774426053,-3.935400261346439,59328.24580007947
h2_v0_j11__v0_j9,h2,v0_j11__v0_j9,3064.73951018,4.9e-07,False,-7.520527605783856,-5.90909094066098,-5.737133569669417,-5.306647746787171,-4.339494180803701,-3.965316747779199,-3.6259975943376617,63858.80988583417
